id,city,date,time,severity,weather_condition,road_condition,num_vehicles,latitude,longitude,hour,month,year,month_year,period
1820,Austin,2023-09-18,09:44,Medium,Snow,Wet,3,37.9208,-104.9841,9,9,2023,2023-09,Day
1821,New York,2022-08-24,08:41,Medium,Rain,Wet,5,29.9068,-77.4119,8,8,2022,2022-08,Day
1822,Los Angeles,2022-12-07,07:16,Medium,Clear,Icy,1,47.0647,-80.7624,7,12,2022,2022-12,Day
1823,Los Angeles,2023-11-21,21:30,Low,Rain,Dry,1,25.817,-104.7209,21,11,2023,2023-11,Night
1824,San Diego,2021-11-11,11:35,Medium,Rain,Dry,3,29.9067,-76.1543,11,11,2021,2021-11,Day
1825,San Jose,2023-01-08,12:33,High,Clear,Slippery,4,37.1886,-100.9072,12,1,2023,2023-01,Day
1826,New York,2022-07-14,23:27,Medium,Clear,Wet,3,45.4929,-73.5907,23,7,2022,2022-07,Night
1827,Indianapolis,2023-10-28,08:19,Low,Clear,Slippery,3,34.3355,-114.8292,8,10,2023,2023-10,Day
1828,Houston,2021-04-08,11:03,Medium,Clear,Dry,3,35.3267,-104.5507,11,4,2021,2021-04,Day
1829,Los Angeles,2021-06-13,11:25,Medium,Fog,Dry,1,37.4394,-104.6681,11,6,2021,2021-06,Day
1830,San Antonio,2022-10-27,06:31,Low,Clear,Under Construction,1,45.4581,-116.814,6,10,2022,2022-10,Day
1831,San Jose,2021-06-20,23:29,High,Clear,Under Construction,1,28.2735,-80.1171,23,6,2021,2021-06,Night
1832,Dallas,2023-07-01,17:03,Low,Rain,Dry,5,33.5318,-109.842,17,7,2023,2023-07,Day
1833,Dallas,2022-07-03,17:05,High,Cloudy,Wet,2,35.068,-105.6852,17,7,2022,2022-07,Day
1834,New York,2023-01-02,20:03,High,Fog,Wet,1,26.8156,-116.2283,20,1,2023,2023-01,Night
1835,Los Angeles,2022-03-16,20:59,High,Hail,Wet,5,30.9715,-89.0467,20,3,2022,2022-03,Night
1836,New York,2022-11-27,02:18,High,Clear,Dry,2,44.4241,-97.8878,2,11,2022,2022-11,Night
1837,Dallas,2021-04-12,21:45,Medium,Rain,Slippery,1,26.1073,-70.9065,21,4,2021,2021-04,Night
1838,Los Angeles,2022-08-13,22:39,Low,Fog,Dry,5,27.7259,-107.5734,22,8,2022,2022-08,Night
1839,Los Angeles,2021-09-16,21:56,Low,Rain,Under Construction,3,26.4814,-93.7764,21,9,2021,2021-09,Night
1840,Chicago,2021-07-12,22:41,Medium,Cloudy,Under Construction,3,32.9605,-82.9978,22,7,2021,2021-07,Night
1841,New York,2023-02-05,17:21,Low,Clear,Dry,4,38.0961,-91.9643,17,2,2023,2023-02,Day
1842,Charlotte,2021-02-09,12:27,High,Rain,Dry,4,41.494,-97.17,12,2,2021,2021-02,Day
1843,Los Angeles,2021-04-01,18:57,Medium,Clear,Wet,2,40.2309,-92.3456,18,4,2021,2021-04,Night
1844,Indianapolis,2022-08-15,10:44,Low,Clear,Dry,4,35.545,-82.5443,10,8,2022,2022-08,Day
1845,Los Angeles,2021-11-18,11:00,Medium,Snow,Dry,2,47.6635,-105.7186,11,11,2021,2021-11,Day
1846,Los Angeles,2021-09-24,20:11,Medium,Clear,Wet,2,40.2143,-92.2205,20,9,2021,2021-09,Night
1847,Chicago,2021-11-03,08:14,High,Clear,Wet,1,38.1403,-88.5561,8,11,2021,2021-11,Day
1848,Chicago,2023-05-14,19:02,Low,Fog,Wet,4,36.74,-109.3653,19,5,2023,2023-05,Night
1849,New York,2021-11-07,20:07,Low,Clear,Dry,1,31.4766,-86.7264,20,11,2021,2021-11,Night
1850,Indianapolis,2023-07-24,11:56,Medium,Windy,Dry,5,44.7962,-117.4382,11,7,2023,2023-07,Day
1851,New York,2023-05-18,10:25,High,Clear,Wet,2,43.3388,-75.9933,10,5,2023,2023-05,Day
1852,Phoenix,2021-10-17,13:22,Low,Rain,Dry,1,40.9828,-115.4437,13,10,2021,2021-10,Day
1853,Chicago,2023-07-01,06:51,Low,Fog,Wet,2,29.348,-85.578,6,7,2023,2023-07,Day
1854,San Antonio,2021-12-11,06:50,Medium,Clear,Slippery,5,43.0706,-94.8428,6,12,2021,2021-12,Day
1855,Chicago,2023-09-29,18:43,Low,Clear,Dry,4,29.863,-102.6857,18,9,2023,2023-09,Night
1856,Chicago,2021-06-17,18:56,Medium,Rain,Dry,1,33.7796,-95.1283,18,6,2021,2021-06,Night
1857,Chicago,2021-04-14,18:49,Low,Rain,Icy,5,44.7358,-118.5072,18,4,2021,2021-04,Night
1858,Phoenix,2023-02-08,16:09,Medium,Cloudy,Icy,3,32.6291,-76.1325,16,2,2023,2023-02,Day
1859,New York,2021-04-20,17:32,Medium,Rain,Dry,2,37.6776,-90.0178,17,4,2021,2021-04,Day
1860,Indianapolis,2021-09-19,16:53,Low,Cloudy,Dry,1,31.3808,-96.6617,16,9,2021,2021-09,Day
1861,New York,2022-07-25,17:46,Medium,Rain,Dry,4,47.4006,-72.259,17,7,2022,2022-07,Day
1862,New York,2022-02-06,17:43,Medium,Clear,Dry,2,47.5095,-107.5961,17,2,2022,2022-02,Day
1863,New York,2021-11-02,08:08,Medium,Clear,Slippery,1,30.6051,-84.6717,8,11,2021,2021-11,Day
1864,New York,2021-03-26,20:48,Low,Clear,Dry,3,34.1051,-121.8499,20,3,2021,2021-03,Night
1865,San Antonio,2021-04-28,11:50,High,Clear,Dry,4,45.7711,-117.0104,11,4,2021,2021-04,Day
1866,Dallas,2022-04-05,07:04,Medium,Windy,Dry,1,35.8026,-102.3378,7,4,2022,2022-04,Day
1867,San Antonio,2021-03-25,20:10,High,Clear,Slippery,1,31.0644,-78.2084,20,3,2021,2021-03,Night
1868,Houston,2022-07-20,05:24,Low,Clear,Slippery,1,34.6554,-121.2724,5,7,2022,2022-07,Night
1869,Columbus,2021-04-25,11:35,High,Clear,Under Construction,4,35.5916,-82.8366,11,4,2021,2021-04,Day
1870,Houston,2021-03-25,12:44,Low,Rain,Icy,3,33.3184,-106.2338,12,3,2021,2021-03,Day
1871,Los Angeles,2022-08-11,18:50,Medium,Clear,Dry,2,40.7517,-90.5577,18,8,2022,2022-08,Night
1872,Houston,2022-01-22,18:36,Low,Rain,Dry,4,29.3648,-77.9815,18,1,2022,2022-01,Night
1873,Jacksonville,2023-03-01,07:56,Low,Hail,Dry,4,40.3057,-74.179,7,3,2023,2023-03,Day
1874,Dallas,2022-12-05,21:35,Low,Clear,Wet,5,39.6333,-72.3421,21,12,2022,2022-12,Night
1875,Indianapolis,2023-12-30,18:38,Medium,Fog,Slippery,2,39.7078,-84.3335,18,12,2023,2023-12,Night
1876,Dallas,2021-06-23,17:36,Low,Clear,Dry,2,45.4093,-84.5514,17,6,2021,2021-06,Day
1877,Columbus,2022-07-31,22:11,Medium,Clear,Dry,2,30.9971,-111.48,22,7,2022,2022-07,Night
1878,New York,2021-03-13,19:15,Medium,Clear,Wet,4,34.3304,-102.5592,19,3,2021,2021-03,Night
1879,San Jose,2022-07-01,11:29,Low,Rain,Wet,4,32.609,-98.4164,11,7,2022,2022-07,Day
1880,Charlotte,2022-07-04,18:57,Low,Clear,Under Construction,4,33.5265,-97.4462,18,7,2022,2022-07,Night
1881,Dallas,2022-07-09,12:59,Medium,Clear,Icy,4,29.7983,-107.4214,12,7,2022,2022-07,Day
1882,Chicago,2021-06-11,07:18,Medium,Cloudy,Wet,5,46.0925,-106.0698,7,6,2021,2021-06,Day
1883,San Jose,2021-06-29,19:11,Medium,Clear,Slippery,5,33.7696,-106.2915,19,6,2021,2021-06,Night
1884,Charlotte,2023-07-04,07:54,Low,Snow,Dry,2,33.4627,-84.695,7,7,2023,2023-07,Day
1885,New York,2021-09-01,09:24,High,Clear,Wet,3,39.9653,-91.6569,9,9,2021,2021-09,Day
1886,Charlotte,2022-05-23,19:10,High,Clear,Dry,3,29.9103,-79.9012,19,5,2022,2022-05,Night
1887,San Diego,2023-07-17,15:14,Medium,Clear,Slippery,1,25.6897,-88.4279,15,7,2023,2023-07,Day
1888,Austin,2021-09-07,13:33,High,Clear,Dry,3,41.7875,-98.775,13,9,2021,2021-09,Day
1889,Chicago,2022-07-30,10:13,High,Clear,Slippery,4,45.4511,-95.7147,10,7,2022,2022-07,Day
1890,Dallas,2023-08-02,09:54,High,Rain,Dry,2,39.7848,-113.4928,9,8,2023,2023-08,Day
1891,Austin,2021-02-21,17:26,High,Snow,Dry,4,35.6444,-115.133,17,2,2021,2021-02,Day
1892,Houston,2023-05-31,12:20,Low,Clear,Dry,1,39.8512,-119.5747,12,5,2023,2023-05,Day
1893,Houston,2023-01-02,19:52,Medium,Clear,Slippery,3,39.9288,-87.7692,19,1,2023,2023-01,Night
1894,Los Angeles,2021-04-04,03:58,High,Clear,Dry,3,29.2851,-97.918,3,4,2021,2021-04,Night
1895,San Antonio,2022-02-04,07:01,Low,Rain,Icy,2,42.5505,-94.4875,7,2,2022,2022-02,Day
1896,Columbus,2021-06-27,13:10,Low,Clear,Wet,3,41.3113,-95.0589,13,6,2021,2021-06,Day
1897,New York,2023-03-12,07:46,Medium,Rain,Wet,4,43.0341,-104.1136,7,3,2023,2023-03,Day
1898,Austin,2023-02-04,22:22,High,Rain,Slippery,2,28.8864,-88.7233,22,2,2023,2023-02,Night
1899,Los Angeles,2023-06-26,08:39,Medium,Rain,Dry,3,44.6159,-86.0581,8,6,2023,2023-06,Day
1900,New York,2022-03-31,18:14,Medium,Clear,Dry,1,35.7995,-117.2348,18,3,2022,2022-03,Night
1901,New York,2021-04-11,15:29,Low,Rain,Icy,1,42.5833,-80.0399,15,4,2021,2021-04,Day
1902,New York,2022-02-14,12:06,Low,Clear,Dry,5,30.112,-71.9372,12,2,2022,2022-02,Day
1903,Phoenix,2022-01-10,17:54,Medium,Rain,Slippery,3,37.285,-108.5699,17,1,2022,2022-01,Day
1904,Houston,2023-04-05,13:20,Low,Clear,Under Construction,2,47.5895,-70.9115,13,4,2023,2023-04,Day
1905,Dallas,2021-10-18,22:58,Low,Clear,Wet,3,47.9342,-104.0025,22,10,2021,2021-10,Night
1906,Indianapolis,2021-11-12,18:42,Medium,Clear,Wet,3,34.3156,-102.3946,18,11,2021,2021-11,Night
1907,New York,2022-11-23,08:41,Low,Snow,Wet,4,44.8833,-109.2786,8,11,2022,2022-11,Day
1908,Houston,2021-08-23,14:17,Medium,Clear,Icy,1,36.168,-105.6067,14,8,2021,2021-08,Day
1909,Philadelphia,2022-09-17,18:41,Low,Cloudy,Dry,4,29.0138,-87.6229,18,9,2022,2022-09,Night
1910,Houston,2023-11-08,19:42,Medium,Fog,Wet,4,26.4549,-84.0141,19,11,2023,2023-11,Night
1911,Los Angeles,2023-09-03,04:20,Low,Clear,Wet,1,33.4706,-99.7378,4,9,2023,2023-09,Night
1912,San Jose,2022-07-03,05:36,Medium,Clear,Dry,5,46.4669,-117.2512,5,7,2022,2022-07,Night
1913,San Antonio,2023-02-09,16:13,Medium,Rain,Icy,1,35.9747,-121.9725,16,2,2023,2023-02,Day
1914,Houston,2021-10-08,01:10,Low,Clear,Wet,4,27.2102,-84.0939,1,10,2021,2021-10,Night
1915,Charlotte,2021-07-03,07:04,Medium,Fog,Dry,5,34.2813,-94.337,7,7,2021,2021-07,Day
1916,Indianapolis,2023-07-19,12:36,Medium,Clear,Dry,4,30.3205,-80.5097,12,7,2023,2023-07,Day
1917,Chicago,2022-01-15,07:41,Medium,Rain,Dry,5,47.1682,-94.1922,7,1,2022,2022-01,Day
1918,Chicago,2023-09-01,17:26,High,Cloudy,Slippery,5,45.7025,-85.6893,17,9,2023,2023-09,Day
1919,New York,2022-09-25,08:38,Medium,Clear,Dry,5,40.4586,-81.1468,8,9,2022,2022-09,Day
1920,New York,2022-11-17,07:07,Low,Rain,Dry,1,42.8157,-96.7129,7,11,2022,2022-11,Day
1921,Philadelphia,2023-02-14,09:18,Medium,Cloudy,Dry,1,25.0274,-100.115,9,2,2023,2023-02,Day
1922,Philadelphia,2023-08-09,12:19,Medium,Rain,Dry,4,38.641,-73.9854,12,8,2023,2023-08,Day
1923,Chicago,2021-07-02,12:12,Low,Rain,Dry,3,25.7596,-100.8513,12,7,2021,2021-07,Day
1924,Phoenix,2022-12-24,10:14,Low,Fog,Under Construction,5,34.8124,-112.3035,10,12,2022,2022-12,Day
1925,Columbus,2023-08-10,12:07,Medium,Clear,Wet,4,30.123,-111.2938,12,8,2023,2023-08,Day
1926,New York,2023-01-30,16:46,Low,Clear,Wet,4,34.5111,-111.2688,16,1,2023,2023-01,Day
1927,Jacksonville,2022-09-06,08:05,Medium,Cloudy,Wet,5,44.3314,-82.3006,8,9,2022,2022-09,Day
1928,Houston,2023-03-17,11:18,Medium,Clear,Dry,3,45.1172,-73.011,11,3,2023,2023-03,Day
1929,Dallas,2022-08-22,18:19,Medium,Fog,Dry,1,34.097,-73.7438,18,8,2022,2022-08,Night
1930,Jacksonville,2022-05-16,18:15,High,Clear,Wet,3,30.2075,-76.1923,18,5,2022,2022-05,Night
1931,San Jose,2023-04-20,09:33,High,Rain,Dry,2,26.0981,-104.9342,9,4,2023,2023-04,Day
1932,Phoenix,2023-05-11,07:46,High,Windy,Wet,5,39.7785,-76.1185,7,5,2023,2023-05,Day
1933,New York,2022-07-07,06:10,Low,Cloudy,Wet,2,26.4077,-112.9865,6,7,2022,2022-07,Day
1934,Chicago,2023-09-08,18:30,High,Rain,Dry,4,33.5225,-97.4239,18,9,2023,2023-09,Night
1935,New York,2021-09-28,20:08,Low,Clear,Wet,3,33.7745,-118.6674,20,9,2021,2021-09,Night
1936,New York,2022-04-03,15:52,High,Snow,Dry,1,29.6929,-77.0837,15,4,2022,2022-04,Day
1937,Chicago,2022-11-14,20:55,Medium,Clear,Dry,3,39.4441,-78.3417,20,11,2022,2022-11,Night
1938,Indianapolis,2021-01-05,15:27,Low,Rain,Dry,1,31.0051,-103.2542,15,1,2021,2021-01,Day
1939,Chicago,2022-09-04,08:44,Low,Clear,Dry,5,37.6668,-119.501,8,9,2022,2022-09,Day
1940,Los Angeles,2022-02-24,10:11,Medium,Cloudy,Wet,1,44.7334,-111.8651,10,2,2022,2022-02,Day
1941,Houston,2023-07-26,10:16,Medium,Clear,Dry,4,41.4267,-100.3844,10,7,2023,2023-07,Day
1942,Jacksonville,2023-03-23,18:34,Low,Fog,Under Construction,3,41.3474,-75.3463,18,3,2023,2023-03,Night
1943,Indianapolis,2022-07-29,12:37,Low,Snow,Dry,4,35.0775,-107.1256,12,7,2022,2022-07,Day
1944,Chicago,2023-08-12,09:02,High,Clear,Dry,3,46.7867,-113.5048,9,8,2023,2023-08,Day
1945,Los Angeles,2022-07-29,12:21,Medium,Fog,Icy,2,29.5763,-115.0592,12,7,2022,2022-07,Day
1946,New York,2021-11-10,16:14,Low,Clear,Wet,1,29.9571,-76.3536,16,11,2021,2021-11,Day
1947,Los Angeles,2022-04-16,02:12,Medium,Clear,Wet,4,43.0162,-103.0096,2,4,2022,2022-04,Night
1948,New York,2021-01-22,12:27,Medium,Rain,Icy,3,30.7298,-83.0836,12,1,2021,2021-01,Day
1949,Los Angeles,2021-12-22,09:23,Low,Cloudy,Slippery,5,37.791,-108.5676,9,12,2021,2021-12,Day
1950,Los Angeles,2023-09-26,07:01,Medium,Hail,Dry,2,37.4242,-98.1605,7,9,2023,2023-09,Day
1951,Los Angeles,2021-02-03,06:45,Low,Fog,Dry,3,26.3453,-79.6551,6,2,2021,2021-02,Day
1952,San Diego,2023-04-28,21:16,Medium,Fog,Under Construction,4,39.7704,-86.0688,21,4,2023,2023-04,Night
1953,New York,2022-10-20,19:26,Medium,Rain,Slippery,3,26.1511,-103.2924,19,10,2022,2022-10,Night
1954,Houston,2022-04-11,14:58,Medium,Rain,Dry,5,45.0608,-118.6674,14,4,2022,2022-04,Day
1955,Austin,2021-11-15,10:02,Medium,Rain,Dry,5,31.4802,-108.7544,10,11,2021,2021-11,Day
1956,Charlotte,2023-11-05,18:09,Medium,Rain,Dry,1,43.2719,-116.8141,18,11,2023,2023-11,Night
1957,New York,2021-06-23,06:03,Medium,Rain,Dry,3,47.598,-93.2545,6,6,2021,2021-06,Day
1958,Indianapolis,2021-04-13,17:57,Low,Snow,Slippery,4,31.701,-120.1252,17,4,2021,2021-04,Day
1959,New York,2022-04-07,16:22,High,Rain,Wet,2,38.7581,-83.7686,16,4,2022,2022-04,Day
1960,Los Angeles,2021-08-13,13:11,High,Cloudy,Wet,2,30.0672,-98.371,13,8,2021,2021-08,Day
1961,Los Angeles,2021-12-01,01:54,Low,Clear,Dry,3,40.7573,-108.445,1,12,2021,2021-12,Night
1962,Columbus,2023-02-23,20:12,Medium,Clear,Wet,2,29.6542,-106.9254,20,2,2023,2023-02,Night
1963,Jacksonville,2022-09-11,12:57,Low,Snow,Dry,5,38.3425,-104.8091,12,9,2022,2022-09,Day
1964,Los Angeles,2022-07-09,13:51,High,Rain,Dry,5,40.7402,-118.2887,13,7,2022,2022-07,Day
1965,Houston,2022-10-04,08:43,Low,Fog,Dry,4,39.5972,-111.1214,8,10,2022,2022-10,Day
1966,Los Angeles,2022-10-11,12:17,High,Rain,Icy,2,45.9771,-92.5036,12,10,2022,2022-10,Day
1967,Houston,2021-02-05,12:56,Medium,Clear,Wet,1,40.0448,-92.2194,12,2,2021,2021-02,Day
1968,New York,2021-11-19,07:18,Low,Snow,Slippery,4,30.0224,-114.115,7,11,2021,2021-11,Day
1969,Dallas,2022-10-13,10:42,Medium,Clear,Dry,2,39.8523,-113.0373,10,10,2022,2022-10,Day
1970,New York,2022-08-31,17:11,Low,Clear,Dry,5,25.6226,-87.2212,17,8,2022,2022-08,Day
1971,Dallas,2022-11-27,06:13,Low,Rain,Slippery,1,31.2701,-94.2095,6,11,2022,2022-11,Day
1972,New York,2022-04-05,17:10,Medium,Clear,Dry,2,42.9886,-102.6501,17,4,2022,2022-04,Day
1973,Columbus,2022-08-30,14:58,Medium,Rain,Slippery,5,34.5946,-96.0258,14,8,2022,2022-08,Day
1974,New York,2023-04-03,10:00,Medium,Rain,Dry,5,26.3452,-105.9162,10,4,2023,2023-04,Day
1975,Jacksonville,2022-09-18,18:53,Low,Fog,Dry,5,46.058,-96.1129,18,9,2022,2022-09,Night
1976,Chicago,2023-12-11,13:53,Low,Fog,Dry,4,31.4807,-76.7488,13,12,2023,2023-12,Day
1977,San Antonio,2022-09-29,18:07,Medium,Clear,Wet,1,39.0418,-84.8273,18,9,2022,2022-09,Night
1978,New York,2023-06-13,19:11,Low,Clear,Dry,3,28.7512,-108.8473,19,6,2023,2023-06,Night
1979,Los Angeles,2022-03-21,19:07,Medium,Rain,Slippery,1,27.0711,-77.1396,19,3,2022,2022-03,Night
1980,Houston,2023-07-04,07:48,Medium,Hail,Dry,5,27.2203,-113.6341,7,7,2023,2023-07,Day
1981,New York,2022-02-12,06:35,Low,Clear,Dry,2,41.2433,-118.7558,6,2,2022,2022-02,Day
1982,Los Angeles,2022-12-14,21:47,Low,Rain,Dry,1,25.0885,-89.146,21,12,2022,2022-12,Night
1983,Los Angeles,2022-10-31,19:17,Medium,Clear,Wet,3,37.7225,-113.5844,19,10,2022,2022-10,Night
1984,Los Angeles,2023-05-06,19:39,Medium,Fog,Dry,4,34.1565,-85.7297,19,5,2023,2023-05,Night
1985,Houston,2021-12-02,19:48,Low,Clear,Icy,2,45.2863,-95.9167,19,12,2021,2021-12,Night
1986,Indianapolis,2023-03-01,17:56,Low,Rain,Slippery,1,36.6301,-88.98,17,3,2023,2023-03,Day
1987,New York,2023-04-05,07:29,Medium,Clear,Icy,1,47.3824,-112.1267,7,4,2023,2023-04,Day
1988,Columbus,2023-11-02,19:12,Medium,Clear,Wet,5,41.8151,-110.3621,19,11,2023,2023-11,Night
1989,Dallas,2022-01-18,13:38,Low,Rain,Wet,1,34.3394,-75.426,13,1,2022,2022-01,Day
1990,New York,2023-10-07,12:41,Medium,Fog,Icy,2,25.1443,-75.2596,12,10,2023,2023-10,Day
1991,Austin,2023-12-07,06:41,Low,Clear,Dry,5,35.2257,-100.6929,6,12,2023,2023-12,Day
1992,New York,2023-08-02,21:44,High,Clear,Slippery,2,37.4434,-106.4568,21,8,2023,2023-08,Night
1993,New York,2023-10-16,07:43,Medium,Fog,Wet,4,33.4787,-72.4263,7,10,2023,2023-10,Day
1994,Los Angeles,2023-03-29,14:48,High,Rain,Dry,3,35.309,-105.9815,14,3,2023,2023-03,Day
1995,Indianapolis,2023-11-05,16:57,Low,Clear,Dry,4,39.4503,-121.5303,16,11,2023,2023-11,Day
1996,New York,2023-06-30,18:56,High,Clear,Dry,4,28.2825,-89.8982,18,6,2023,2023-06,Night
1997,New York,2023-05-17,16:19,Medium,Rain,Dry,5,25.0885,-81.344,16,5,2023,2023-05,Day
1998,Phoenix,2023-07-26,10:43,Medium,Rain,Slippery,3,34.3294,-118.0861,10,7,2023,2023-07,Day
1999,Austin,2023-11-09,08:38,High,Clear,Dry,3,44.2946,-95.0126,8,11,2023,2023-11,Day
2000,San Antonio,2022-12-05,08:46,High,Clear,Dry,5,37.2752,-108.2085,8,12,2022,2022-12,Day
2001,Los Angeles,2022-10-10,00:38,Medium,Snow,Slippery,3,47.1916,-115.8501,0,10,2022,2022-10,Night
2002,Indianapolis,2021-03-06,07:08,Low,Clear,Wet,1,25.4158,-93.6931,7,3,2021,2021-03,Day
2003,Chicago,2022-07-09,14:16,Low,Clear,Wet,5,38.1821,-112.1224,14,7,2022,2022-07,Day
2004,San Diego,2021-03-26,11:19,Medium,Clear,Wet,4,31.024,-77.5603,11,3,2021,2021-03,Day
2005,Indianapolis,2021-08-06,15:26,Low,Clear,Under Construction,3,46.0496,-119.5433,15,8,2021,2021-08,Day
2006,Dallas,2022-03-12,04:22,Medium,Clear,Wet,5,33.1855,-111.4281,4,3,2022,2022-03,Night
2007,Philadelphia,2023-01-03,12:06,Medium,Clear,Dry,5,40.2942,-75.3455,12,1,2023,2023-01,Day
2008,New York,2022-08-26,12:36,Medium,Cloudy,Slippery,1,37.2088,-113.5762,12,8,2022,2022-08,Day
2009,San Jose,2021-03-13,02:40,Medium,Cloudy,Dry,2,31.2418,-106.6274,2,3,2021,2021-03,Night
2010,Charlotte,2022-06-01,07:38,Low,Clear,Dry,4,37.8484,-73.6855,7,6,2022,2022-06,Day
2011,Chicago,2023-02-06,07:02,Medium,Clear,Dry,3,39.0595,-99.3182,7,2,2023,2023-02,Day
2012,Houston,2023-09-06,07:59,Low,Cloudy,Dry,5,25.182,-109.7326,7,9,2023,2023-09,Day
2013,Los Angeles,2022-08-27,12:01,Low,Cloudy,Dry,3,40.7489,-105.0646,12,8,2022,2022-08,Day
2014,Los Angeles,2022-04-02,16:20,High,Snow,Wet,3,25.1405,-78.8173,16,4,2022,2022-04,Day
2015,Chicago,2021-10-08,10:46,Low,Fog,Slippery,5,26.2962,-83.4668,10,10,2021,2021-10,Day
2016,Charlotte,2023-03-19,07:11,High,Clear,Wet,4,30.4471,-81.5024,7,3,2023,2023-03,Day
2017,Phoenix,2021-10-21,16:29,Medium,Clear,Wet,2,39.2022,-93.1044,16,10,2021,2021-10,Day
2018,Los Angeles,2022-10-20,15:10,Medium,Clear,Icy,2,41.3945,-105.7434,15,10,2022,2022-10,Day
2019,Chicago,2023-04-12,06:32,Low,Clear,Dry,3,46.0734,-94.4872,6,4,2023,2023-04,Day
2020,New York,2021-04-07,11:38,Medium,Clear,Dry,3,39.6885,-103.4557,11,4,2021,2021-04,Day
2021,Phoenix,2021-10-17,10:55,Medium,Fog,Dry,4,27.7389,-91.8098,10,10,2021,2021-10,Day
2022,Jacksonville,2023-07-30,08:18,Medium,Clear,Dry,5,37.2893,-110.4432,8,7,2023,2023-07,Day
2023,New York,2021-09-13,14:26,Medium,Rain,Dry,5,46.1242,-71.019,14,9,2021,2021-09,Day
2024,Phoenix,2023-05-25,21:32,Medium,Clear,Slippery,1,33.1104,-112.9474,21,5,2023,2023-05,Night
2025,Austin,2023-09-01,08:18,Medium,Clear,Dry,2,27.8112,-86.0415,8,9,2023,2023-09,Day
2026,Los Angeles,2023-04-17,11:42,Low,Clear,Icy,5,26.1501,-95.382,11,4,2023,2023-04,Day
2027,Phoenix,2021-08-08,11:43,Low,Snow,Dry,4,35.1819,-102.2972,11,8,2021,2021-08,Day
2028,San Antonio,2021-11-29,16:25,Low,Clear,Dry,4,28.1407,-90.5607,16,11,2021,2021-11,Day
2029,Austin,2022-06-11,20:40,Low,Cloudy,Dry,5,38.2277,-80.9046,20,6,2022,2022-06,Night
2030,San Antonio,2021-03-17,06:34,Low,Clear,Dry,2,44.1512,-86.4446,6,3,2021,2021-03,Day
2031,New York,2022-11-29,07:45,Medium,Rain,Dry,3,28.9146,-106.6699,7,11,2022,2022-11,Day
2032,San Jose,2022-07-22,18:32,Low,Fog,Slippery,5,41.6565,-91.6924,18,7,2022,2022-07,Night
2033,Columbus,2023-06-17,07:58,High,Cloudy,Dry,5,33.0162,-94.9652,7,6,2023,2023-06,Day
2034,San Antonio,2023-11-28,18:53,Low,Clear,Wet,4,41.8159,-90.3215,18,11,2023,2023-11,Night
2035,Phoenix,2021-06-01,19:19,Low,Rain,Slippery,1,35.6288,-73.836,19,6,2021,2021-06,Night
2036,Charlotte,2023-12-20,10:16,High,Fog,Icy,2,34.7854,-82.4514,10,12,2023,2023-12,Day
2037,Indianapolis,2021-11-24,14:25,Low,Clear,Dry,1,29.8282,-95.8556,14,11,2021,2021-11,Day
2038,San Jose,2023-06-09,20:07,Medium,Rain,Under Construction,5,26.8351,-72.8465,20,6,2023,2023-06,Night
2039,Austin,2022-11-21,15:56,Medium,Rain,Slippery,5,39.4963,-113.32,15,11,2022,2022-11,Day
2040,New York,2021-08-04,12:36,Low,Rain,Dry,4,38.4596,-110.5074,12,8,2021,2021-08,Day
2041,San Diego,2023-02-05,06:53,Medium,Rain,Dry,4,47.1073,-121.3818,6,2,2023,2023-02,Day
2042,Houston,2022-10-15,08:43,Medium,Clear,Wet,5,26.8359,-109.0718,8,10,2022,2022-10,Day
2043,Indianapolis,2023-12-27,07:36,Low,Rain,Dry,1,30.597,-99.8172,7,12,2023,2023-12,Day
2044,Austin,2021-05-01,17:20,Medium,Snow,Wet,1,31.5184,-118.8282,17,5,2021,2021-05,Day
2045,Houston,2021-10-05,10:45,Medium,Cloudy,Slippery,5,36.4124,-102.286,10,10,2021,2021-10,Day
2046,New York,2023-04-04,07:28,Medium,Rain,Wet,5,30.643,-103.632,7,4,2023,2023-04,Day
2047,Chicago,2021-05-04,17:40,Low,Snow,Icy,4,27.078,-89.0908,17,5,2021,2021-05,Day
2048,New York,2022-08-21,13:15,Low,Clear,Dry,5,36.2089,-112.3313,13,8,2022,2022-08,Day
2049,New York,2022-12-12,19:07,Low,Clear,Wet,1,40.1806,-78.4074,19,12,2022,2022-12,Night
2050,Houston,2022-05-07,13:11,High,Rain,Dry,4,34.4268,-104.158,13,5,2022,2022-05,Day
2051,New York,2022-05-26,10:33,High,Clear,Icy,4,26.7605,-75.5483,10,5,2022,2022-05,Day
2052,San Diego,2023-08-04,22:20,Low,Rain,Icy,3,34.4207,-108.1887,22,8,2023,2023-08,Night
2053,Los Angeles,2023-02-04,22:02,Medium,Clear,Dry,2,25.1903,-114.5791,22,2,2023,2023-02,Night
2054,Charlotte,2023-05-10,08:08,Medium,Clear,Wet,3,35.4256,-94.4988,8,5,2023,2023-05,Day
2055,Los Angeles,2022-04-16,16:50,Low,Clear,Icy,4,36.3918,-108.4734,16,4,2022,2022-04,Day
2056,Phoenix,2021-01-08,15:11,Medium,Clear,Wet,4,42.601,-76.6992,15,1,2021,2021-01,Day
2057,Los Angeles,2022-12-20,06:45,High,Clear,Wet,4,28.123,-96.4701,6,12,2022,2022-12,Day
